window,role,n_pairs,att,se,ci_lower,ci_upper,t_stat,p_value,significant_05,significant_10
15,primary,9070,-0.014333,0.009335,-0.03263,0.003964,-1.5354,0.124725,False,False
30,secondary,755,0.01457,0.045967,-0.075525,0.104665,0.317,0.751364,False,False
